Timestamp,AirPressure,AirTemperatureA,AirHumidity,AirTemperatureB,V450,B500,G550,Y570,O600,R650,SoilTemperatureA,SoilTemperatureB,TotalLuminosity
5/7/2023 9:00,993_5963135,12_99751282,65_16418457,13_42109394,347_1693726,462_2538452,309_266571,343_6034241,256_9644165,319_4036865,14_8984375,13_4375,2038_661316
5/7/2023 10:00,993_6531982,13_29645538,64_47753906,14_36774921,657_6146851,1078_001709,616_7404175,764_6532593,510_6833496,655_7509155,14_796875,13_6953125,4283_444336
5/7/2023 11:00,993_9160767,13_85610962,64_32189941,14_59937763,390_7926331,547_1264648,325_9501953,395_4029236,262_1273193,371_7741089,14_703125,14_53125,2293_173645
5/7/2023 12:00,993_7677612,15_31989288,64_04724121,15_57120991,426_8650818,562_8840332,346_5619507,411_9642944,299_0086975,402_3442993,14_6484375,15_046875,2449_628357
5/7/2023 13:00,993_6984253,14_78101349,63_96484375,15_10291767,285_8262939,342_7608032,232_5944977,271_5794678,200_1407166,252_0541687,14_6171875,14_90625,1584_955948
5/7/2023 14:00,993_6218262,12_68171692,77_0690918,14_10087299,370_5858154,466_7868652,305_6417236,351_2731323,259_069458,334_4798584,14_6015625,14_171875,2087_836853
5/7/2023 15:00,993_6459961,12_8660202,87_38098145,13_87427998,386_0314331,493_9947205,307_6369629,362_6045227,266_8499451,354_137146,14_59375,14_078125,2171_25473
5/7/2023 16:00,993_4005737,12_62440491,89_31274414,13_71818256,162_893219,227_7663269,119_2331696,154_5157623,100_2082901,155_9301453,14_5859375,14_2421875,920_5469132
5/7/2023 17:00,994_1621704,11_40055847,99_99694824,12_8974123,37_16862488,51_14915466,27_30192375,33_68083572,21_95153999,31_56421661,14_5703125,13_8515625,202_8162956
5/7/2023 18:00,994_7191162,8_658439636,99_99694824,10_49552631,32_23351669,38_85661316,23_50373077,27_29968643,19_05533791,25_44589233,14_5546875,12_9609375,166_3947773
5/7/2023 19:00,995_0472412,8_090904236,99_99694824,10_01716328,23_91780281,26_92403793,16_67493439,19_06575775,13_66037273,19_00221825,14_53125,12_484375,119_2451239
5/7/2023 20:00,995_3035278,7_033950806,99_99694824,9_166180611,4_738545895,5_420641422,2_559969664,2_781526566,2_020351648,3_185622215,14_4921875,11_9375,20_70665741
5/7/2023 21:00,995_7307129,6_751312256,99_99694824,8_848950386,0_004501469,0_004886395,0_002651444,0_002354233,0_001226686,0_002299258,14_4453125,11_6328125,0_017919485
5/7/2023 22:00,996_1663818,6_542282104,99_99694824,8_607251167,0,0,0_001325722,0_001177117,0_001226686,0_001149629,14_3828125,11_359375,0_004879154
5/7/2023 23:00,996_2625122,6_10005188,99_99694824,8_239666939,0,0,0_001325722,0_001177117,0_001226686,0,14_3046875,11_078125,0_003729525
5/8/2023 0:00,996_6490479,5_829216003,99_99694824,7_962719917,0,0,0_001325722,0_001177117,0_001226686,0,14_21875,10_8125,0_003729525
5/8/2023 1:00,996_5981445,5_694358826,99_99694824,7_922436714,0,0,0_001325722,0_001177117,0_001226686,0,14_125,10_75,0_003729525
5/8/2023 2:00,996_5261841,5_697166443,99_99694824,7_902295113,0,0,0_001325722,0_001177117,0_001226686,0_001149629,14_03125,10_46875,0_004879154
5/8/2023 3:00,996_3989868,5_021186829,99_99694824,7_277905464,0,0,0_001325722,0_001177117,0_001226686,0,13_9296875,10_1796875,0_003729525
5/8/2023 4:00,996_4465332,5_213356018,99_99694824,7_464215279,0,0,0_001325722,0_001177117,0_001226686,0,13_8359375,10_109375,0_003729525
5/8/2023 5:00,996_34375,4_940834045,99_99694824,7_197339058,0_006001958,0_006515194,0_002651444,0_00353135,0_002453372,0_002299258,13_7265625,9_9609375,0_023452576
5/8/2023 6:00,996_5385132,4_998710632,99_99694824,7_252728462,4_103838921,4_518286705,2_216607571,2_427214146,1_625358701,2_360188484,13_625,9_8515625,17_25149453
5/8/2023 7:00,996_8563232,4_681793213,99_99694824,6_925427437,12_11795425,14_55819988,8_151865959,9_504038811,6_443779945,9_336137772,13_53125,9_6640625,60_11197662
5/8/2023 8:00,997_4302979,4_803726196,99_99694824,7_066418648,63_99888229,80_74931335,48_77597046,58_67101669,40_28435898,54_93847275,13_4296875,9_578125,347_4180145
5/8/2023 9:00,997_7678223,5_324615479,99_99694824,7_459179878,204_360321,251_5891266,161_5991058,189_7617035,133_6782684,178_9314117,13_3359375,9_6796875,1119_919937
5/8/2023 10:00,998_2634277,5_67300415,99_99694824,7_650525093,144_5726624,177_1548004,121_0301895,139_3253326,97_81755829,120_0786285,13_234375,9_9140625,799_9791717
5/8/2023 11:00,998_4589844,7_201400757,99_99694824,8_712994576,149_6155701,206_7473145,120_8752289,151_1232605,100_6323547,131_5794983,13_140625,10_3984375,860_573227
5/8/2023 12:00,998_7719727,5_688179016,99_99694824,7_826764107,200_4766541,241_25354,151_9874268,183_4065247,128_2898712,174_2521515,13_0625,10_0625,1079_666168
5/8/2023 13:00,998_9674072,5_831466675,99_99694824,7_967755318,160_8772583,217_9622955,135_5850372,162_008728,105_8952332,137_5454865,12_9921875,10_0625,919_8740387
5/8/2023 14:00,999_1955566,6_180412292,99_99694824,8_234631538,138_6950836,173_6080322,102_9719162,121_1033707,90_43839264,116_3768005,12_9296875,10_0234375,743_1935958
5/8/2023 15:00,999_2990723,6_283233643,99_99694824,8_239666939,163_6734009,216_9454651,127_365921,152_635025,101_6484375,143_4441528,12_875,9_9921875,905_7124023
5/8/2023 16:00,999_46698,5_490943909,99_99694824,7_645489693,96_74436188,120_236908,81_10616302,91_78450775,63_70233154,79_84981537,12_8125,9_7265625,533_4240876
5/8/2023 17:00,999_7398682,5_138626099,99_99694824,7_388684273,61_18096161,85_17475128,48_79585648,61_83040237,41_66193008,53_57156754,12_7578125,9_59375,352_2154694
5/8/2023 18:00,1000_354553,4_745849609,99_99694824,7_051312447,35_6366272,42_54258347,26_65497208,31_14768028,21_85586166,29_36612511,12_6953125,9_375,187_2038498
5/8/2023 19:00,1000_36615,4_991401672,99_99694824,7_262799263,38_16495132,45_88650894,29_97855568,33_83974838,23_08745384,30_78016853,12_6328125,9_3203125,201_7373867
5/8/2023 20:00,1000_728271,4_890823364,99_99694824,7_162091255,11_73082829,12_79095459,6_553044796,7_212193012,4_907969952,7_864612579,12_5703125,9_3125,51_05960322
5/8/2023 21:00,1001_362488,4_89138031,99_99694824,7_217480659,0_007502448,0_006515194,0_002651444,0_00353135,0_002453372,0_003448887,12_4921875,9_265625,0_026102695
5/8/2023 22:00,1001_694824,4_933525085,99_99694824,7_217480659,0_00150049,0,0_001325722,0_001177117,0_001226686,0,12_4296875,9_2265625,0_005230014
5/8/2023 23:00,1001_446716,4_853736877,99_99694824,7_152020454,0,0,0_001325722,0_001177117,0_001226686,0,12_359375,9_1875,0_003729525
5/9/2023 0:00,1001_238892,4_624481201,99_99694824,6_975781441,0,0,0,0_001177117,0,0,12_2890625,9_0859375,0_001177117
